         58140714 function calls (58122759 primitive calls) in 162.026 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:202(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:224(PngInfo)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:303(PngStream)
        1    0.000    0.000    0.002    0.002 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:631(PngImageFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:981(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:992(_fdat)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      104    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:359(_populate)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       20    0.001    0.000    0.214    0.011 __init__.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
       18    0.000    0.000    0.000    0.000 __init__.py:100(__hash__)
        1    0.000    0.000    0.000    0.000 __init__.py:102(XlibException)
        1    0.000    0.000    0.000    0.000 __init__.py:104(CallbackRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:1065(FileHandler)
       81    0.001    0.000    0.003    0.000 __init__.py:1079(_event_motionnotify_view)
        1    0.000    0.000    0.143    0.143 __init__.py:108(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:108(XlibMouseCursor)
       11    0.000    0.000    0.015    0.001 __init__.py:109(import_module)
